9525,10713,8662,4175,6967,9444,7317,6167,7028,6082,4389,8352,5297,11586,9103,4721,7965,3828,6133,4050,4134,4577,8985,5337,5643,6833,7557,3744,7794,7069,5213,7957,11985,5495,6274,6719,4853,9793,4045,9043,5529,8603,10231,6127,4269,8633,7443,4971,6860,11808,10491,5898,7046,7309,4542,4356,9868,11187,4464,4357,6790,11761,12421,11105,11566,5883,11440,6781,4534,7766,4684,9543,8778,5367,6888,8765,5634,10690,4341,10162,11604,11775,4884,5822,5578,3715,4538,8229,4061,13460,7336,8377,7015,8866,11136,6320,4909,8233,9307
9759,11130,8672,4385,7379,9206,7848,6636,7834,6563,4883,9009,5703,11119,9176,5409,8201,4064,6638,4209,4438,5063,9708,5853,6063,7298,8043,3965,8345,7283,5398,8608,11954,5632,7341,7193,5319,9530,4403,9196,5912,8615,10071,6560,4668,8900,7955,5423,7423,11277,10598,6372,7465,7463,5335,4777,10176,11178,4935,4526,7357,11690,12812,10980,11059,6318,10980,7353,5229,7995,5382,9901,9094,5872,7124,9022,6037,10528,4707,9888,11268,12112,5299,6249,5753,3885,5173,8831,4248,11926,7928,9032,7806,9189,10698,6783,5397,8883,10064
8410,9452,7705,4882,5899,8045,6875,5540,5924,4948,3995,7846,5014,10059,7522,4586,7203,4155,4996,4910,4536,4494,8519,4970,5283,6498,7185,4481,7433,6571,4556,7439,10487,4988,5550,5272,5057,8379,3844,8729,5269,7661,8632,5537,4910,7658,6640,5033,5453,10589,9321,5302,5964,6040,4443,4240,9081,9686,5048,5231,5559,10478,10867,9337,10082,4715,9856,5467,4566,6951,5515,9136,7645,5424,6263,7773,5255,9752,4349,8612,10336,10272,4662,5385,4382,4511,4782,7324,4875,11337,5590,7499,5906,8473,9770,5728,4631,7353,8751
8724,9869,8150,4212,6986,8350,7187,6259,6851,6651,4911,8190,5871,10023,8562,5435,7460,4500,6657,4062,4558,5380,8810,5718,6041,6527,7182,4431,7404,6809,5207,7802,10636,6168,6472,6803,5632,9004,4503,8943,5978,8100,9052,6174,4980,8528,7287,5379,7502,10489,9698,5755,7069,7074,5323,5058,9751,10166,5046,4363,7164,11069,11257,9824,10436,6294,9892,7091,5212,7277,5426,9327,8069,5807,6695,8641,6062,9444,4836,9342,10800,10642,5183,6446,6263,4282,5408,8057,4099,11184,7524,8418,6836,8662,10013,6139,5645,8283,9127
8012,8906,7992,5323,7304,8487,7979,6884,7228,6222,6487,9010,6763,9332,9199,6479,8216,4946,6509,5927,5992,6733,8947,6996,7095,7482,8259,4862,8527,7494,6722,8584,9587,7056,6804,7575,7113,9117,5871,8786,6988,7938,8553,6342,6222,8438,7776,6812,7012,9696,8429,7094,7377,7508,6348,6362,9637,8923,6642,6391,7124,9563,9487,8945,9517,7398,9207,7095,6540,8022,6455,9163,8427,7365,7025,8450,7137,8910,6318,9451,9189,9002,6674,7439,7166,4764,6518,8593,5181,11777,7324,8683,7218,8518,9089,7600,7136,8532,9262
9445,10673,8732,4553,7412,9378,8003,6399,7114,6479,5393,9234,5777,11227,9251,5628,8381,4187,6511,4883,4939,5585,9509,6065,6043,7336,8377,4090,8675,7754,5828,8809,11485,6073,6707,6858,5887,9701,4873,9406,5950,8705,10061,6307,5160,8502,7707,5671,7303,11768,10055,6187,7505,7665,5504,5231,9763,11058,5489,5256,6883,11599,12387,10611,11533,6299,11067,7115,5674,8168,5130,9612,8817,6138,7101,8628,6064,10501,5214,10057,11520,11398,5463,6370,6183,4023,5629,8540,4432,12363,7287,9151,7094,8932,11188,6614,5884,8993,9830
9965,10961,9536,4632,8223,10216,8679,7411,8239,7118,5484,10114,6606,11578,9844,5778,9189,4287,7111,4765,4800,5686,10400,6322,7209,7548,8655,4191,8973,7986,6077,9658,12124,6909,7757,7969,6188,10804,4724,10325,7077,9489,10600,7294,5258,9704,8739,5908,8028,12222,10779,7144,8320,8766,5835,5552,11123,11303,5594,5126,8075,11823,12022,11541,11696,7508,11417,8002,5707,8955,5784,10788,9539,6382,7861,10003,7239,11411,5068,11192,11658,11614,5723,7267,7044,4130,5668,9708,4500,14170,8470,9720,8220,10025,11622,7634,6214,9551,10760
10328,11645,8861,5753,7229,9934,7403,7181,7035,6560,5920,8595,5588,12021,9203,6865,7880,5089,6625,5474,5486,6801,10466,6635,5918,7222,7561,4951,7810,7504,5521,8199,12525,5807,6578,7262,6490,10284,5395,10600,5796,8873,10915,6630,6280,9266,7505,5871,7404,12326,10852,6547,7316,7348,6115,5820,10562,11666,6040,5881,7334,12582,12177,11478,11818,6159,11864,7321,5988,7692,6846,10324,9096,6346,6986,9865,5927,11378,5829,10671,11797,12563,6035,6139,5898,4847,5597,8348,5550,13360,7552,9032,7025,9595,11971,7014,6470,8874,10838
8686,8714,8108,5083,8232,8327,8467,6469,7563,6872,5099,9209,5627,9484,9278,4982,8391,5151,7264,4885,4929,5294,9070,5757,6201,7327,8073,5056,8339,8062,5312,8792,9395,5875,7096,7024,5526,8619,4843,8928,6117,8362,8915,6419,4906,8115,8187,5383,7741,9191,8545,6202,8335,7842,4900,4945,9279,9077,5480,5264,7752,9503,9631,9730,8952,6465,9356,7682,5126,8156,4951,9332,8198,5819,7897,8564,6247,9354,5218,8950,9165,9118,5252,6213,5961,4281,5135,9061,4941,10075,7642,9177,7544,8665,9546,6676,5557,9014,9384
9120,11062,8498,5293,9652,8722,9772,8312,9241,8277,5671,10596,6959,10120,10084,6196,9613,4721,8274,5185,5221,5850,9214,7127,7716,8755,9650,4651,10003,9201,6480,10102,11637,7633,8654,9008,6055,9455,5141,9290,7819,8458,9735,8219,5356,8275,9453,6622,9400,11035,10898,8023,9780,9546,5671,5376,9476,10340,5787,5606,9093,11192,11083,10240,10520,8039,9969,8963,6393,9321,6204,9357,8595,7192,9067,8695,8013,9907,5501,9785,10758,10739,6380,7779,7754,4739,6323,10489,5144,11768,9485,9950,9221,8674,10462,8631,6982,9777,9532
9744,10138,9790,7578,8970,9605,9148,7750,8744,7861,8086,9927,6924,11097,10366,8268,9016,7874,7902,7134,7856,8346,9757,8402,7207,8654,9495,7764,9835,9118,7466,9473,10902,7230,8235,8306,7956,9944,7079,10689,7082,9751,10034,7612,7602,9090,8840,7827,8893,10025,9607,7477,9075,9443,8100,7124,10396,10179,8671,7704,8584,10662,10210,10918,9836,7512,10952,8850,7631,8811,8290,11170,9917,8493,8954,9176,7239,10854,7606,10320,10626,10010,7577,7610,7369,6765,7522,9799,7347,10691,8961,9661,8724,10378,11047,7988,8347,9495,10106
8989,9190,8503,6580,7009,8544,8061,7886,7152,7657,7202,9081,6802,10008,8972,7549,8147,5883,6142,6284,6621,7502,9028,7691,7235,7125,7822,5734,8103,7484,7029,8685,10233,7062,6700,8543,7183,8854,6531,9142,6994,8471,9375,7803,6864,8561,7773,7146,8633,9635,9031,7572,7104,7418,7377,6409,9455,9538,7322,6787,8602,9406,9687,10260,9153,7571,9861,8589,6903,7941,7538,9518,8625,7714,7346,8702,7162,9816,7034,9174,9067,9167,6897,7477,7234,5860,6844,8594,6370,10486,7280,8571,7135,8847,10359,8088,7233,8400,9317
10372,11645,10917,6762,8928,11508,10140,7723,8576,7675,7172,11671,6942,12501,11630,7053,10609,6466,7705,6407,6367,7400,12151,7584,7193,9134,10020,6904,10361,9278,7206,11122,11806,7588,8082,8329,7635,10740,6299,12184,7090,10969,10971,7583,6728,11349,9815,7113,8680,12534,11589,7452,9030,8855,7206,6813,12605,11289,7394,6908,8728,12119,12894,11935,12208,7494,12341,8647,6934,10351,7400,12336,11386,7702,8547,11483,7255,11419,6785,11132,11631,12308,7175,7644,7716,6067,6831,10850,6567,13775,8721,11109,8550,11469,12124,7978,7606,10916,12576
9953,10841,9017,5463,8784,9630,9294,7330,8385,7136,5938,10010,6620,11084,9492,6708,9096,5126,7182,5455,5447,6099,10142,7036,7235,8720,9581,5029,9941,9170,6651,9567,11606,6897,8078,7843,6938,9967,5427,9805,6739,8951,10068,7187,5616,9471,8963,6560,8118,13184,10810,7037,8893,8681,6569,6236,10427,11116,6041,5876,7840,12599,12433,11172,12256,7520,10929,7855,6398,8885,6387,10222,9141,7100,8414,9597,6884,10838,5818,10317,12097,12033,6562,7261,7042,4859,6296,9950,5285,13972,8177,9359,8371,9505,11010,7537,6975,9202,10485
9050,8897,8774,6817,7963,9031,8207,7126,8393,6742,7348,8896,6449,9311,9334,6515,8104,6082,7098,6481,6493,7137,9828,7123,6666,7686,8442,6018,8727,7751,6476,8501,9625,6762,7560,7640,6768,9349,6406,9257,6930,8797,9472,7021,6562,8743,7929,6698,7603,9658,8742,6861,8062,8245,6363,6033,10018,8974,7182,7000,7666,9772,10162,9939,9750,6939,9167,7570,6176,7891,7175,9648,8855,7241,7620,9256,7102,9087,6889,9690,9412,9564,6438,7123,6860,6097,6133,8765,6616,10642,8015,8878,8375,8969,9276,7374,6754,8719,10167
8935,9346,7207,5913,6580,7526,6946,6122,7032,6040,5456,7841,5170,9026,7510,5920,7482,5534,6041,5641,5736,5965,5936,5285,4986,5241,7482,5684,6513,6760,4045,5547,10598,5200,6403,6401,6173,7481,4977,4474,5532,7139,9596,6052,5668,7081,7309,5187,7045,9580,8501,5235,6133,7386,5847,5449,8408,10105,6110,6022,6789,10757,10964,6577,9940,5827,10175,6976,4538,7292,6132,7910,7294,5586,6482,7506,5844,10013,5882,8728,7830,9926,4868,5481,5300,5303,5543,8096,5825,10353,6128,4753,7171,5531,10286,6068,6054,6809,8813
9551,10084,9033,6188,8811,9185,8764,7154,8409,7156,6272,10034,6289,11208,9567,6506,8657,5850,7176,5824,5823,6496,9426,6907,6606,8266,9168,5770,9429,8590,6345,9536,10864,6646,7529,7728,6909,9482,5748,9318,6558,8982,9829,7069,5962,8819,8525,6579,8075,11677,9859,7025,8879,8655,6303,6176,9739,10979,6437,6277,8117,11927,11394,10661,11436,6936,11085,8027,6293,8410,6519,10102,8818,7126,8377,8949,6708,10229,6159,9862,11280,10753,6271,7007,6766,5517,6307,9426,6005,12790,8146,9410,8388,9358,10846,7524,6930,9238,9814
8599,8446,8952,4320,8422,8704,9038,6321,7432,6264,4927,10287,5408,9424,9963,4940,9338,3918,6335,4206,4498,5125,9180,6243,5760,7995,8781,3828,9115,8327,5762,9841,9044,6286,6938,6851,5664,9002,4412,8968,5608,8894,8856,6270,4767,8089,8746,5791,7051,10019,8301,5794,8516,7739,4873,5097,9280,8883,4992,4517,6996,9623,9310,9642,9843,5992,9298,6972,5559,9116,5225,10240,9090,6270,8115,8490,5734,9230,4719,9333,9265,8817,5673,5934,6408,3853,5533,9713,4208,10667,7513,9848,7425,9518,9375,6188,6003,9676,9501
7109,8580,7446,4714,7592,7105,6750,6795,7619,6689,5286,7695,5788,8992,7518,5859,6984,4350,6717,4757,4850,5495,7451,6119,6156,6061,6658,3950,6893,7503,5691,7336,9195,5973,7165,7366,5496,7346,4760,7664,6006,7406,7655,6714,5082,6944,6832,5655,7585,8943,8117,6219,7691,8023,5153,4947,7919,8428,5366,5131,7473,8738,8425,8324,8775,6411,8872,7501,5401,6852,5823,7687,7092,6128,7329,6990,6120,7936,5110,7620,8724,8280,5586,6333,6091,4200,5391,7535,4579,9528,7721,7407,7636,7154,8373,6626,5572,7279,7714
7942,7933,10283,5751,8990,8348,9922,7509,8942,7349,5761,10990,6653,8450,10995,6366,10001,5798,7402,5726,5384,5951,8793,7133,7267,8984,9940,5440,10248,9444,6500,10469,8538,6797,8089,8080,6746,8634,5292,10798,7167,9854,8475,7418,5495,9721,9805,6384,8271,11748,7801,7228,9097,9266,6524,6028,11137,8219,5921,6161,8292,8610,10984,9204,11589,7572,8340,8211,6159,9730,5989,11295,10395,6893,8626,9842,7331,7630,5687,8954,9600,10459,6464,7336,6903,5545,6139,10863,5590,12930,8362,10428,8921,10484,8121,7766,6729,10244,9103
8519,9482,8159,3692,7218,8482,7394,6701,6929,6407,4369,8464,5366,9931,8346,4871,7733,3203,6438,3585,3671,4538,8945,5408,5931,7000,7749,3120,8013,7069,5325,8063,10212,5587,6718,7222,5206,8793,3574,8649,5833,7889,8860,6616,4200,7958,7165,5042,7219,10172,8955,6444,7314,7176,4790,4649,9114,9672,4074,3856,7272,10541,10374,9963,9985,6183,9780,7180,4816,7510,4847,9006,8275,5450,6927,8067,5971,9245,3843,9112,10159,9817,5280,5930,5678,3284,4827,7942,3585,10891,7274,8228,6917,8349,10423,6941,5238,8078,9248
8878,9142,8298,6127,7594,8788,7699,7015,7096,6321,6203,8428,6303,9548,8703,6799,7673,5724,6295,5752,5741,6416,8873,6914,6315,7364,8129,5642,8393,7712,6298,8027,10146,6591,6659,6841,7062,9121,5677,9118,6204,8230,8940,6250,6237,8236,7475,6472,7148,10281,8976,6654,7684,7396,6642,6323,9501,9444,6378,6205,6921,9906,9846,9700,10088,6587,9427,6912,6228,7493,6794,9521,8400,7001,7333,8356,6328,9325,6114,9464,9533,9920,6255,6933,6696,5440,6189,8269,5949,10880,7161,8093,7088,8843,9514,7124,6806,7954,9192
9047,9820,8407,4924,7641,8200,7604,6303,7506,6224,5136,8474,5277,10352,8842,5754,7833,4482,6270,4796,4623,5265,9145,6374,5941,7020,7835,4433,8115,7416,5162,8153,10657,5482,6700,6860,6073,9024,4754,8872,5540,8385,9043,6297,4911,8510,7693,5920,7020,10370,8947,5957,7721,7785,5625,5406,9702,9877,5216,5185,6955,10411,10744,9809,9773,6212,10243,6905,5620,7788,5718,9382,8350,6419,7366,8365,5685,9774,5079,9382,10393,9965,5502,5860,5513,4402,5638,8624,4772,11078,7194,8646,7489,8911,9830,6497,6072,8499,9494
7106,8093,6533,3935,5354,7180,5904,4273,4932,4304,4293,7200,4143,8162,6837,4886,6606,3742,4358,3846,3938,4723,7555,4336,4002,5390,5968,3658,6147,5299,4058,6866,8723,4275,4618,4694,3846,7442,3833,6865,3906,6482,7330,4276,4410,6591,5761,4038,4817,9228,7386,4075,5419,5144,4808,3459,7504,8409,4608,4130,4768,8674,9352,7958,9057,4161,8056,4753,3613,6438,4840,7147,6632,4346,5176,6701,3991,7646,4110,7722,8717,8838,3988,4551,4342,3518,3843,6356,3832,10115,4941,6709,4928,6643,8154,4360,4101,6592,7822
10699,11279,8882,4294,7507,10039,8468,6193,7506,6256,5136,9843,5589,11810,9345,5186,8672,3766,6292,4340,4555,5309,10584,5843,6005,7711,8489,3691,8763,7654,5592,9394,12485,5837,6776,7050,5884,10725,4468,9716,5661,8822,10947,6105,4558,9538,8208,5474,7044,11887,10663,5963,7599,7754,5068,5261,11032,11619,5013,4670,7100,12167,12180,11558,11679,6253,11629,7017,5280,8450,4974,10127,9314,5908,7197,9977,5801,11440,4787,11106,11822,11872,5302,6157,5936,3858,5248,9083,4169,13373,7654,9457,7479,9418,12024,6392,5913,9293,10942
8640,9550,7524,4386,7062,9134,7809,5704,6838,6171,4738,8433,6445,10405,8642,5261,7703,4183,6234,4224,4310,4925,9291,6190,6789,6888,7888,4105,8224,7337,6001,8077,10266,6712,6296,6515,5915,9465,4205,8512,6615,7465,10088,5920,4800,8505,7566,5741,6994,9240,9389,5464,7165,7156,5565,5311,9710,9921,4809,4560,6598,9916,9874,9700,9061,7072,10262,6605,5481,7552,5241,8845,7663,6217,6851,8642,6728,10358,4558,9819,9569,9661,5867,7055,6844,3865,5457,8406,4266,10150,7181,8247,6817,8223,10543,5814,5993,8113,9605
9129,9392,7160,4212,6019,8149,6679,4714,5571,4804,4340,7368,4794,10596,7510,4577,6744,3932,4883,4030,4295,4501,8579,5213,5412,5921,6542,4124,6760,6252,4714,7031,10556,4963,5199,4971,4784,8453,3997,8315,5279,7089,9451,4523,4166,7951,6456,4867,5402,10119,9189,4949,6092,6135,4490,4281,8696,9805,4750,4343,5049,10309,10296,10275,9536,5633,10456,5319,4669,6533,4563,8342,7322,5259,5811,8078,5401,9900,4290,8766,9946,9695,4629,5277,5042,3764,4653,7186,4090,11233,5567,7378,5559,7750,10121,5305,4808,7244,8888
7923,8084,7280,5071,6276,8163,7004,5483,6117,5316,5299,7596,5068,8787,7629,5376,7223,4734,5359,4806,4822,5496,8233,5353,5190,6272,7140,4633,7411,6347,5013,7242,9031,5249,5713,5944,5618,8463,4825,7762,5229,7217,8181,5401,5016,7625,6362,5703,6043,9353,7939,5245,6349,6399,5328,5071,8694,8289,5383,5194,6018,8694,8994,8891,8832,5406,8673,6027,5241,7087,5178,8071,7404,6176,6371,7709,5341,8541,5190,8778,8707,9001,4936,5492,5353,4411,5138,7046,4900,9968,6187,7703,6083,7504,8696,5564,5715,7569,8528
9409,11320,8371,4719,6885,8801,7319,5681,6735,5603,5053,8389,5085,11649,8450,5516,7683,4325,5675,4554,4616,5233,9267,5611,5413,6378,7011,4215,7278,6412,5174,8032,13334,5257,6286,6179,5419,9461,4553,9118,5270,8000,10091,5624,5010,8579,7406,5203,6319,12469,10871,5445,6974,7016,5093,4856,9459,11754,5133,4901,6244,12910,12879,10590,12250,5632,11489,6244,5030,7483,5492,9488,8712,5635,6646,8706,5406,10574,4873,9800,12444,12170,5352,5595,5367,4175,4979,8208,4564,13546,6806,8326,6720,8808,10778,5811,5464,8191,9588
10012,11683,7952,5661,8748,9224,8527,7808,9033,8097,6445,9315,6892,12722,8481,6364,7804,5444,8136,5660,5687,6680,9727,7301,7654,8485,9331,5307,9663,8582,6686,8892,12976,7009,7952,8542,6868,10373,5822,9051,6926,7998,10604,7236,5963,8589,8253,6663,9016,12727,11480,7652,8852,9382,6565,6169,9793,12740,6253,6021,8725,13457,12874,11536,12259,7980,12560,8714,6902,7623,6509,9096,8066,7489,8421,8837,7372,11434,6099,10756,12933,13114,6413,7351,7075,5065,6535,9146,5619,13729,9262,8052,8492,8462,11639,7740,7181,7919,10071